MC_Bin      Toa         TimeEnd            Mag     PW    Freq     Fmin     Fmax    Fmop   Phase01  CW   PhaseSegs  Thres FileSeek
28       100864.00    101888.00      64.8 1024.00   70.31   70.31   70.31 0  145.88 0 1    62.4      50432 
13       253440.00    254464.00      63.1 1024.00   99.61   99.61   99.61 0   99.93 0 1    62.1     126720 
5       223744.00    323584.00      79.7 99840.00  115.23  115.23  115.23 0   -2.44 0 193    69.8     111872 
22       871936.00    872960.00      60.7 1024.00   82.03   82.03   82.03 0   11.25 0 1    60.5     435968 
1       994816.00    995840.00      66.4 1024.00  123.05  123.05  123.05 0  154.93 0 1    59.1     497408 
5      1248256.00   1347584.00      79.8 99328.00  115.23  115.23  115.23 0    0.42 0 193    67.9     624128 
15      1707520.00   1708544.00      60.9 1024.00   95.70   95.70   95.70 0  -90.40 0 1    59.2     853760 
21      1870848.00   1872384.00      64.7 1536.00   83.98   83.98   83.98 0   -5.46 0 1    62.6     935424 
10      2019328.00   2020352.00      67.2 1024.00  105.47  105.47  105.47 0   75.23 0 1    66.5    1009664 
5      2272256.00   2372096.00      79.7 99840.00  115.23  115.23  115.23 0    2.44 0 194    66.4    1136128 
28      2665984.00   2667520.00      63.4 1536.00   70.31   70.31   70.31 0   56.40 0 2    57.4    1332992 
1      3384832.00   3385856.00      63.9 1024.00  123.05  123.05  123.05 0   -6.42 0 1    63.3    1692416 
5      3296256.00   3396096.00      79.5 99840.00  115.23  115.23  115.23 0    0.91 0 193    67.1    1648128 
5      4320256.00   4420096.00      79.5 99840.00  115.23  115.23  115.23 0   -0.51 0 194    67.7    2160128 
22      4494336.00   4495360.00      64.8 1024.00   82.03   82.03   82.03 0   34.86 0 1    62.5    2247168 
9      4551168.00   4552192.00      65.0 1024.00  107.42  107.42  107.42 0  126.70 0 1    64.3    2275584 
28      4670976.00   4672000.00      64.5 1024.00   70.31   70.31   70.31 0  -70.31 0 1    61.7    2335488 
2      4743680.00   4744704.00      65.6 1024.00  121.09  121.09  121.09 0   20.28 0 1    64.2    2371840 
